timestamp,lat,lon,roll_deg,pitch_deg,yaw_deg,accel_x,accel_y,accel_z
1775213275.980224,27.9147048,78.0765752,11.315975671573863,49.659026964361104,35.354749615805574,6.101820000000001,1.5303600000000002,-7.60275
1775213276.045164,27.9147043,78.076574,33.24362010562468,52.93983320009586,61.672749148334084,7.39674,-3.2274900000000004,-5.2974000000000006
1775213276.103437,27.9147033,78.0765748,34.52915733006946,44.85479826067378,72.41143893880576,6.51384,-4.42431,-3.924
1775213276.134134,27.9147036,78.0765751,3.5322380922442065,17.332171924608467,42.770893884524554,3.3746400000000003,-2.87433,3.3452100000000002
1775213276.1665542,27.9147052,78.0765755,4.506220720010497,23.50719398150796,42.02077860421166,0.54936,-2.13858,-10.565370000000001
1775213276.1974049,27.9147053,78.0765769,13.546216850690616,22.886860833161773,47.720605617533145,3.6100800000000004,-2.77623,-8.58375
1775213276.227201,27.9147039,78.0765771,8.26926392435754,23.511529444083628,50.1751092278581,4.905,-1.4715,-8.946720000000001
1775213276.2531462,27.9147042,78.0765775,0.43982325477465395,18.69495175837692,46.832506855607654,4.00248,-0.16677,-9.83943
1775213276.2805052,27.9147053,78.0765783,-0.46434592841167405,24.715003653197996,50.288343519013154,2.19744,-0.32373,-13.184640000000002
1775213276.309311,27.9147048,78.0765773,7.1259956983427175,26.99638416617793,47.39311853739854,4.28697,-0.8240400000000001,-7.93629
1775213276.333736,27.9147049,78.0765759,1.9353981343465818,4.579673001231638,47.55093688836086,2.05029,-0.83385,-14.00868
1775213276.5731761,27.9147046,78.076576,4.683712577103387,11.31926526143287,50.59999480555708,1.54017,-1.00062,-9.721710000000002
1775213277.16227,27.9147046,78.0765761,-0.19090037220727138,25.202534018417044,42.41769797235402,5.53284,1.67751,-9.898290000000001
1775213277.579351,27.9147032,78.0765748,14.357926776938687,47.85954532562955,46.36257618033244,6.42555,-1.59903,-7.32807
1775213278.122565,27.9147036,78.0765736,26.367769413463098,60.48732883674335,46.11986882327062,8.917290000000001,-3.3746400000000003,-4.65975
1775213278.57936,27.9147053,78.0765747,6.028528586467885,64.05218214949143,21.539442094836676,9.27045,-0.7651800000000001,-1.78542
1775213279.1442182,27.9147094,78.0765765,-4.8055230245350415,42.58935428657478,1.441634047571134,5.47398,0.47088,-10.06506
1775213279.576094,27.9147106,78.0765759,-8.30210347388696,16.465357739684027,-11.103753156325103,3.59046,1.10853,-8.112870000000001
1775213280.157311,27.9147115,78.0765747,-20.4674609800761,-1.5255947882737504,-26.22129429916488,0.0,3.97305,-9.91791
1775213280.5941608,27.9147131,78.0765754,-18.971135580108264,-1.911945826057697,-43.27071346760774,-2.00124,1.7363700000000002,-8.70147
1775213281.118098,27.9147167,78.076576,-13.853781976563583,-1.8982340078554847,-56.74023241656099,1.81485,3.1686300000000003,-14.13621
1775213281.5785449,27.9147196,78.0765773,-8.433080035184773,5.76194801070958,-35.64140924017643,0.64746,1.8050400000000002,-8.62299
1775213282.1359,27.9147255,78.0765806,0.1176548642910827,-6.128946454532236,-43.829436602093125,0.21582,-0.15696000000000002,-10.663470000000002
1775213282.603234,27.9147295,78.0765822,-7.004271482049336,-0.9888012567791626,-28.98870253574646,-2.95281,-0.16677,-7.769520000000001
